code,name,price,vol,trade_value,pe,industry,chip_ratio,value_billion,回檔%,今日漲幅%,chip_success
1432,大魯閣,15.0,94.474,1416572,2.75,其他,-1.06,0.01,5.66,-0.33,1
1434,福懋,19.15,7623.825,145544686,31.92,其他,-4.26,1.46,8.81,-1.79,1
1435,中福,23.2,47.087,1085063,,其他,0.0,0.01,29.8,9.95,1
1436,華友聯,38.15,416.746,15956643,8.87,建材營建,-38.15,0.16,7.37,-1.8,1
1437,勤益控,30.9,129.487,4008829,11.16,其他,2.41,0.04,2.83,-0.32,1
1438,三地開發,22.0,31.001,681022,7.97,建材營建,-32.26,0.01,8.33,0.0,1
1439,雋揚,26.3,16.109,413705,8.54,建材營建,-24.83,0.0,2.59,-0.19,1
1440,南紡,12.75,2319.365,29473477,,其他,-36.92,0.29,14.77,-0.78,1
1441,大東,9.08,25.097,227154,,其他,0.0,0.0,7.35,0.11,1
1442,名軒,29.95,233.992,6943053,15.28,建材營建,12.9,0.07,1.16,1.18,1
1443,立益物流,26.2,17.026,439570,23.82,其他,0.0,0.0,4.38,0.0,1
1444,力麗,8.0,1452.706,11477512,,其他,-17.08,0.11,21.95,-1.23,1
1445,大宇,10.8,84.0,893200,,其他,-3.57,0.01,20.0,-0.46,1
1446,宏和,14.05,182.191,2542382,8.26,其他,-24.15,0.03,14.49,0.36,1
1447,力鵬,7.5,2130.937,15771957,,其他,-11.03,0.16,30.23,-2.34,1
1449,佳和,12.7,398.237,5044322,,其他,25.22,0.05,18.06,-0.39,1
1451,年興,17.4,106.502,1846406,19.55,其他,6.57,0.02,1.14,0.0,1
1452,宏益,11.65,36.445,419379,,其他,5.49,0.0,4.9,0.87,1
1453,大將,11.15,56.192,622316,101.36,建材營建,-1.78,0.01,4.29,0.45,1
1454,台富,12.55,42.108,524551,,其他,-9.5,0.01,4.56,-1.18,1
1455,集盛,9.12,332.733,3012819,,其他,44.18,0.03,24.63,1.22,1
1456,怡華,13.4,63.122,840857,3.88,建材營建,4.75,0.01,12.7,-1.11,1
1457,宜進,14.3,140.702,1998687,15.71,其他,-2.84,0.02,4.67,0.35,1
1460,宏遠,6.92,587.778,4028139,,其他,-8.51,0.04,21.36,0.0,1
1463,強盛新,17.85,30.007,533971,,其他,13.33,0.01,2.46,0.0,1
1464,得力,10.4,267.858,2769212,28.11,其他,16.32,0.03,6.98,0.0,1
1465,偉全,12.85,122.06,1550535,,其他,6.58,0.02,9.51,0.39,1
1466,聚隆,17.0,575.316,9789412,,其他,-8.51,0.1,15.42,-2.02,1
1467,南緯,10.0,966.209,9888420,,其他,-17.47,0.1,6.1,-2.91,1
1468,昶和,13.1,32.026,422148,109.17,其他,-6.24,0.0,12.37,-2.24,1
1470,大統新創,22.75,5.0,112800,26.15,其他,40.0,0.0,2.99,1.11,1
1471,首利,9.73,228.886,2235389,,電子零組件業,-13.11,0.02,15.39,-0.92,1
1472,三洋實業,89.5,101.339,9014468,13.92,建材營建,12.83,0.09,1.43,0.56,1
1473,台南,20.3,58.0,1166564,,其他,22.41,0.01,4.25,0.74,1
1474,弘裕,10.45,45.08,470388,43.54,其他,-2.22,0.0,10.3,0.0,1
1475,業旺,26.65,12.001,319676,10.45,其他,-16.67,0.0,5.16,-0.56,1
1476,儒鴻,334.5,756.785,252587084,16.18,其他,16.38,2.53,4.43,0.15,1
1477,聚陽,215.0,943.443,201799309,15.52,其他,-7.4,2.02,8.12,0.23,1
1503,士電,204.5,1105.538,228386171,30.48,其他,-29.88,2.28,16.22,-3.31,1
1504,東元,66.2,5309.46,352891593,29.42,其他,-23.39,3.53,11.62,-1.63,1
1506,正道,10.8,201.745,2153414,154.29,其他,6.94,0.02,5.26,0.93,1
1512,瑞利,6.89,66.196,448841,25.52,其他,-1.51,0.0,6.51,2.99,1
1513,中興電,158.0,2724.366,432173289,19.2,其他,-22.18,4.32,11.74,-1.25,1
1514,亞力,105.0,1285.093,136260696,30.61,其他,-33.64,1.36,19.23,-2.78,1
1515,力山,33.95,4352.505,149678521,34.64,其他,-10.91,1.5,24.72,-1.59,1
1516,川飛,16.0,31.018,485925,800.0,其他,-3.22,0.0,21.76,-0.31,1
1517,利奇,11.3,379.495,4257438,,其他,7.38,0.04,15.04,-0.88,1
1519,華城,697.0,777.808,543962454,47.9,其他,-12.57,5.44,16.73,-1.13,1
1521,大億,25.3,11.011,277225,35.63,其他,0.0,0.0,4.53,-0.2,1
1522,堤維西,27.85,688.177,19240555,89.84,其他,-48.97,0.19,6.73,-1.76,1
1524,耿鼎,26.15,525.664,13751799,17.43,其他,3.23,0.14,13.41,-0.95,1
1525,江申,66.9,7.103,470389,41.81,其他,28.16,0.0,4.15,-0.45,1
1526,日馳,16.1,560.195,9037446,,其他,-10.0,0.09,12.26,-3.88,1
1527,鑽全,33.6,88.223,2952230,36.92,其他,-14.74,0.03,3.31,0.0,1
1528,恩德,19.1,976.979,18785401,,其他,22.31,0.19,23.9,-2.8,1
1529,樂事綠能,18.4,501.046,9212411,16.14,其他,-18.76,0.09,12.47,-1.34,1
1530,亞崴,31.1,182.882,5652185,27.04,其他,21.88,0.06,7.96,1.97,1
1531,高林股,13.0,96.366,1247193,,其他,4.15,0.01,2.62,0.0,1
1532,勤美,23.3,388.181,8997103,19.91,其他,15.82,0.09,1.89,0.22,1
1533,車王電,33.1,130.271,4286433,20.31,其他,18.42,0.04,14.03,-1.19,1
1535,中宇,45.75,48.867,2225170,11.76,其他,-2.05,0.02,5.16,0.88,1
1536,和大,50.9,1188.993,60923077,,其他,-23.39,0.61,11.01,-1.36,1
1537,廣隆,127.5,160.548,20352630,16.78,其他,24.32,0.2,0.0,2.0,1
1538,正峰,10.0,12.002,120009,,其他,-25.0,0.0,15.61,6.72,1
1539,巨庭,16.25,58.243,932849,406.25,其他,3.43,0.01,6.07,0.0,1
1540,喬福,21.45,258.772,5537797,23.06,其他,-56.0,0.06,9.68,-0.46,1
1541,錩泰,22.05,14.117,311993,9.71,其他,7.08,0.0,3.92,0.0,1
1558,伸興,90.3,80.43,7201908,16.07,其他,-27.29,0.07,0.63,0.67,1
1560,中砂,672.0,1300.304,883525717,66.27,其他,-16.94,8.84,14.37,-4.27,1
1563,巧新,61.9,1039.804,63512890,140.68,其他,-22.36,0.64,12.85,1.48,1
1568,倉佑,28.6,383.986,11043414,21.34,其他,-31.55,0.11,36.44,-2.05,1
1582,信錦,69.4,779.54,53970848,25.24,電子零組件業,-13.73,0.54,24.15,-1.0,1
1583,程泰,50.0,15.234,746966,17.92,其他,52.51,0.01,4.4,2.46,1
1587,吉茂,24.65,178.674,4423787,60.12,其他,-17.35,0.04,16.44,-0.8,1
1590,亞德客-KY,1425.0,797.628,1138386180,31.2,其他,6.62,11.38,2.06,1.42,1
1597,直得,126.0,1264.312,161283169,105.88,其他,32.32,1.61,24.1,-6.32,1
1598,岱宇,19.75,95.048,1864477,,其他,-6.05,0.02,2.95,0.25,1
1603,華電,29.15,163.495,4773749,10.84,其他,-15.9,0.05,7.15,-0.51,1
1604,聲寶,23.25,219.897,5090861,14.09,其他,49.27,0.05,3.12,0.65,1
1605,華新,32.85,15476.751,510436865,23.98,其他,-21.68,5.1,17.25,-2.38,1
1608,華榮,30.0,1676.612,50559653,5.44,其他,-22.22,0.51,12.41,-0.83,1
1609,大亞,36.85,2869.427,106434309,15.42,其他,-30.71,1.06,16.72,-2.51,1
1611,中電,12.0,530.3,6368921,300.0,其他,-15.27,0.06,15.49,-1.64,1
1612,宏泰,31.05,527.708,16339885,10.35,其他,-30.13,0.16,12.78,-0.16,1
1614,三洋電,31.1,79.156,2448723,23.56,其他,-10.11,0.02,1.43,0.0,1
1615,大山,42.9,71.406,3059032,9.05,其他,33.61,0.03,5.15,-0.12,1
1616,億泰,19.2,696.412,13554462,15.61,其他,-34.61,0.14,15.39,-3.03,1
1617,榮星,18.15,787.17,14378261,20.63,其他,-25.66,0.14,30.49,-2.68,1
1618,合機,38.5,412.642,15926202,8.46,其他,20.11,0.16,10.78,0.0,1
